merchant_id,merchant_type,product_category,product_name,date,day_of_week,weekend_flag,promotion_flag,original_price,production_quantity,sold_quantity,surplus_quantity,shelf_life_hours,preparation_time,storage_type,current_time,holding_time_hours,day_pattern,is_holiday_period
FNB003,Small F&B,Soup & Sides,Gyoza,2026-01-06,1,0,0,6.22,32,27,5,23,14,Frozen,08:25,2.6,midweek,0
FNB003,Small F&B,Bento Sets,Yakitori Set,2026-01-06,1,0,0,18.29,58,51,7,20,26,Refrigerated,08:50,3.7,midweek,0
FNB003,Small F&B,Noodle Dishes,Laksa,2026-01-06,1,0,0,10.99,60,52,8,7,19,Ambient,07:12,1.4,midweek,0
FNB004,Small F&B,Rice Dishes,Fried Rice,2026-01-06,1,0,0,11.46,35,30,5,5,28,Refrigerated,07:51,3.9,midweek,0
FNB004,Small F&B,Soup & Sides,Korokke,2026-01-06,1,0,0,5.86,55,48,7,41,7,Frozen,09:42,2.6,midweek,0
FNB004,Small F&B,Noodle Dishes,Beef Noodles,2026-01-06,1,0,0,13.29,52,45,7,11,15,Frozen,09:30,2.4,midweek,0
FNB004,Small F&B,Desserts,Taiyaki,2026-01-06,1,0,0,10.59,53,46,7,52,12,Ambient,09:15,1.8,midweek,0
FNB005,Small F&B,Noodle Dishes,Beef Noodles,2026-01-06,1,0,1,13.86,33,30,3,12,24,Refrigerated,08:13,3.5,midweek,0
FNB005,Small F&B,Desserts,Mochi Ice Cream,2026-01-06,1,0,0,11.14,56,49,7,46,19,Ambient,09:54,3.7,midweek,0
CAF001,Café,Desserts,Chocolate Cake,2026-01-07,2,0,0,8.62,11,9,2,49,15,Refrigerated,09:58,1.4,midweek,0
CAF001,Café,Pastries,Cinnamon Roll,2026-01-07,2,0,0,5.87,11,10,1,53,1,Refrigerated,06:24,2.0,midweek,0
CAF001,Café,Salads,Quinoa Power Bowl,2026-01-07,2,0,0,10.39,36,32,4,13,19,Ambient,08:22,1.7,midweek,0
CAF001,Café,Coffee & Beverages,Cappuccino,2026-01-07,2,0,0,7.14,25,21,4,5,3,Ambient,06:42,1.3,midweek,0
CAF002,Café,Sandwiches,BLT,2026-01-07,2,0,0,11.82,17,15,2,15,6,Ambient,08:59,1.9,midweek,0
CAF002,Café,Pastries,Cinnamon Roll,2026-01-07,2,0,1,7.27,22,20,2,64,1,Refrigerated,06:49,1.9,midweek,0
CAF002,Café,Desserts,Brownie,2026-01-07,2,0,0,10.7,32,29,3,28,26,Refrigerated,08:00,3.5,midweek,0
CAF003,Café,Salads,Greek Salad,2026-01-07,2,0,0,12.67,27,24,3,42,15,Frozen,08:46,2.8,midweek,0
CAF003,Café,Pastries,Croissant,2026-01-07,2,0,0,4.62,38,34,4,63,5,Refrigerated,07:01,2.5,midweek,0
CAF003,Café,Desserts,Chocolate Cake,2026-01-07,2,0,0,10.79,31,27,4,41,27,Refrigerated,06:12,1.3,midweek,0
CAF004,Café,Salads,Quinoa Power Bowl,2026-01-07,2,0,0,12.96,15,13,2,27,12,Refrigerated,08:23,2.4,midweek,0
CAF004,Café,Desserts,Brownie,2026-01-07,2,0,0,7.98,39,35,4,31,16,Ambient,07:47,2.6,midweek,0
CAF005,Café,Salads,Garden Fresh,2026-01-07,2,0,0,13.88,43,39,4,24,12,Frozen,07:11,1.9,midweek,0
CAF005,Café,Sandwiches,Turkey Sandwich,2026-01-07,2,0,0,11.87,45,41,4,21,6,Frozen,09:36,1.9,midweek,0
BAK001,Bakery,Cakes,Victoria Sponge,2026-01-07,2,0,0,13.58,66,55,11,54,19,Refrigerated,06:36,3.8,midweek,0
BAK001,Bakery,Cookies,Snickerdoodle,2026-01-07,2,0,0,4.41,43,35,8,281,9,Refrigerated,09:27,1.9,midweek,0
BAK002,Bakery,Bread,Baguette,2026-01-07,2,0,0,7.3,35,29,6,44,0,Refrigerated,08:44,2.8,midweek,0
BAK002,Bakery,Pastries,Apple Turnover,2026-01-07,2,0,1,6.31,73,64,9,40,5,Ambient,08:51,3.8,midweek,0
BAK002,Bakery,Cakes,Carrot Cake,2026-01-07,2,0,1,14.27,33,27,6,87,34,Ambient,09:36,3.8,midweek,0
BAK002,Bakery,Tarts,Pecan Tart,2026-01-07,2,0,0,7.3,49,41,8,29,11,Refrigerated,09:47,2.0,midweek,0
BAK003,Bakery,Tarts,Bakewell Tart,2026-01-07,2,0,0,4.66,37,31,6,41,15,Refrigerated,10:27,2.9,midweek,0
BAK003,Bakery,Bread,Baguette,2026-01-07,2,0,0,6.04,56,48,8,66,6,Frozen,08:18,3.0,midweek,0
BAK003,Bakery,Cakes,Victoria Sponge,2026-01-07,2,0,0,10.64,55,46,9,99,42,Ambient,08:00,3.0,midweek,0
BAK003,Bakery,Pastries,Danish Pastry,2026-01-07,2,0,0,5.57,78,66,12,37,2,Refrigerated,08:59,1.9,midweek,0
BAK004,Bakery,Tarts,Lemon Tart,2026-01-07,2,0,0,5.74,16,13,3,31,24,Ambient,10:41,3.5,midweek,0
BAK004,Bakery,Pastries,Almond Twist,2026-01-07,2,0,0,6.32,68,59,9,39,3,Frozen,08:24,1.6,midweek,0
BAK005,Bakery,Bread,Ciabatta,2026-01-07,2,0,0,5.7,79,67,12,62,9,Ambient,08:42,2.5,midweek,0
BAK005,Bakery,Cakes,Lemon Drizzle,2026-01-07,2,0,0,9.66,63,51,12,72,37,Refrigerated,07:24,1.7,midweek,0
FNB001,Small F&B,Soup & Sides,Takoyaki,2026-01-07,2,0,0,7.86,28,23,5,18,12,Refrigerated,06:58,2.4,midweek,0
FNB001,Small F&B,Desserts,Dorayaki,2026-01-07,2,0,0,6.45,36,32,4,65,12,Refrigerated,09:54,3.0,midweek,0
FNB001,Small F&B,Noodle Dishes,Beef Noodles,2026-01-07,2,0,0,15.11,22,19,3,8,17,Ambient,09:27,3.9,midweek,0
FNB001,Small F&B,Rice Dishes,Hainanese Chicken Rice,2026-01-07,2,0,0,11.11,39,35,4,4,24,Ambient,07:27,1.4,midweek,0
FNB002,Small F&B,Noodle Dishes,Laksa,2026-01-07,2,0,0,13.27,44,38,6,6,17,Ambient,08:16,2.4,midweek,0
FNB002,Small F&B,Desserts,Matcha Parfait,2026-01-07,2,0,0,11.41,54,48,6,46,28,Refrigerated,07:27,3.1,midweek,0
FNB003,Small F&B,Soup & Sides,Takoyaki,2026-01-07,2,0,0,6.29,56,48,8,13,15,Refrigerated,07:00,2.7,midweek,0
FNB003,Small F&B,Rice Dishes,Hainanese Chicken Rice,2026-01-07,2,0,0,14.37,51,44,7,7,26,Frozen,07:12,2.9,midweek,0
FNB003,Small F&B,Desserts,Dorayaki,2026-01-07,2,0,0,9.77,60,52,8,52,11,Refrigerated,08:46,1.4,midweek,0
FNB004,Small F&B,Noodle Dishes,Miso Ramen,2026-01-07,2,0,0,15.14,43,37,6,6,18,Frozen,10:30,3.9,midweek,0
FNB004,Small F&B,Desserts,Mochi Ice Cream,2026-01-07,2,0,0,8.81,24,19,5,67,22,Frozen,10:51,2.7,midweek,0
FNB004,Small F&B,Rice Dishes,Curry Rice,2026-01-07,2,0,0,11.76,49,42,7,8,27,Refrigerated,09:23,1.3,midweek,0
FNB005,Small F&B,Bento Sets,Yakitori Set,2026-01-07,2,0,0,19.28,39,33,6,7,21,Ambient,07:31,1.3,midweek,0
FNB005,Small F&B,Noodle Dishes,Beef Noodles,2026-01-07,2,0,0,12.18,54,47,7,6,23,Refrigerated,08:53,2.5,midweek,0
FNB005,Small F&B,Desserts,Mochi Ice Cream,2026-01-07,2,0,0,10.14,33,27,6,47,13,Frozen,10:23,2.6,midweek,0
FNB005,Small F&B,Rice Dishes,Fried Rice,2026-01-07,2,0,0,9.93,27,22,5,5,21,Frozen,08:38,3.9,midweek,0
CAF001,Café,Desserts,Tiramisu,2026-01-08,3,0,0,10.98,45,40,5,38,20,Ambient,09:50,3.7,midweek,0
CAF001,Café,Pastries,Almond Croissant,2026-01-08,3,0,0,7.45,44,39,5,66,0,Ambient,06:22,3.4,midweek,0
CAF002,Café,Sandwiches,Chicken Avocado Wrap,2026-01-08,3,0,0,10.71,43,38,5,20,10,Ambient,08:06,2.4,midweek,0
CAF002,Café,Coffee & Beverages,Cold Brew,2026-01-08,3,0,1,5.56,11,9,2,7,5,Refrigerated,08:31,3.1,midweek,0
CAF003,Café,Desserts,Cheesecake,2026-01-08,3,0,0,7.65,50,45,5,48,29,Refrigerated,08:29,2.5,midweek,0
CAF003,Café,Pastries,Croissant,2026-01-08,3,0,0,6.91,45,40,5,52,1,Ambient,08:52,2.4,midweek,0
CAF003,Café,Coffee & Beverages,Matcha Latte,2026-01-08,3,0,0,5.59,26,22,4,7,2,Ambient,06:05,1.3,midweek,0
CAF004,Café,Desserts,Brownie,2026-01-08,3,0,0,11.74,45,40,5,46,23,Ambient,09:46,1.2,midweek,0
CAF004,Café,Coffee & Beverages,Cappuccino,2026-01-08,3,0,0,6.52,23,20,3,4,4,Refrigerated,09:23,1.3,midweek,0
CAF005,Café,Desserts,Chocolate Cake,2026-01-08,3,0,0,6.17,27,24,3,45,21,Refrigerated,06:55,1.4,midweek,0
CAF005,Café,Coffee & Beverages,Cappuccino,2026-01-08,3,0,0,4.82,43,38,5,6,3,Refrigerated,07:46,2.0,midweek,0
CAF005,Café,Sandwiches,Turkey Sandwich,2026-01-08,3,0,1,7.78,49,45,4,20,15,Ambient,08:38,2.3,midweek,0
BAK001,Bakery,Cakes,Victoria Sponge,2026-01-08,3,0,0,9.27,77,64,13,76,27,Refrigerated,10:03,1.0,midweek,0
BAK001,Bakery,Cookies,Oatmeal Raisin,2026-01-08,3,0,0,4.41,52,42,10,278,7,Ambient,06:34,3.1,midweek,0
BAK002,Bakery,Bread,Sourdough Loaf,2026-01-08,3,0,0,6.18,73,62,11,78,9,Frozen,08:40,2.3,midweek,0
BAK002,Bakery,Cookies,Double Chocolate,2026-01-08,3,0,0,2.93,73,61,12,190,11,Frozen,09:15,2.3,midweek,0
BAK002,Bakery,Cakes,Lemon Drizzle,2026-01-08,3,0,0,12.97,43,34,9,113,35,Ambient,06:32,1.6,midweek,0
BAK003,Bakery,Pastries,Apple Turnover,2026-01-08,3,0,0,4.29,34,27,7,35,5,Refrigerated,08:48,2.7,midweek,0
BAK003,Bakery,Tarts,Bakewell Tart,2026-01-08,3,0,0,7.07,56,47,9,33,24,Refrigerated,06:28,2.9,midweek,0
BAK003,Bakery,Bread,Baguette,2026-01-08,3,0,0,6.54,54,45,9,71,4,Ambient,06:55,3.9,midweek,0
BAK003,Bakery,Cakes,Chocolate Fudge,2026-01-08,3,0,0,10.7,20,15,5,72,25,Frozen,08:32,1.5,midweek,0
BAK004,Bakery,Bread,Whole Wheat Loaf,2026-01-08,3,0,0,7.54,71,60,11,70,5,Refrigerated,10:24,2.2,midweek,0
BAK004,Bakery,Pastries,Apple Turnover,2026-01-08,3,0,0,3.76,27,20,7,40,5,Refrigerated,09:58,2.8,midweek,0
BAK004,Bakery,Tarts,Lemon Tart,2026-01-08,3,0,0,8.17,54,45,9,49,14,Refrigerated,08:05,1.9,midweek,0
BAK005,Bakery,Tarts,Chocolate Tart,2026-01-08,3,0,0,6.53,17,11,6,37,20,Ambient,10:31,1.6,midweek,0
BAK005,Bakery,Bread,Baguette,2026-01-08,3,0,0,8.22,27,22,5,91,0,Refrigerated,08:56,3.3,midweek,0
FNB001,Small F&B,Noodle Dishes,Beef Noodles,2026-01-08,3,0,0,9.31,43,37,6,11,19,Ambient,09:50,2.3,midweek,0
FNB001,Small F&B,Desserts,Matcha Parfait,2026-01-08,3,0,0,11.42,32,28,4,52,24,Frozen,09:49,2.1,midweek,0
FNB002,Small F&B,Desserts,Taiyaki,2026-01-08,3,0,0,6.31,50,43,7,30,26,Refrigerated,09:18,1.3,midweek,0
FNB002,Small F&B,Noodle Dishes,Miso Ramen,2026-01-08,3,0,0,10.03,47,40,7,11,21,Frozen,10:26,1.2,midweek,0
FNB003,Small F&B,Bento Sets,Teriyaki Bento,2026-01-08,3,0,0,14.55,26,21,5,10,24,Refrigerated,06:58,3.5,midweek,0
FNB003,Small F&B,Noodle Dishes,Beef Noodles,2026-01-08,3,0,0,12.14,20,17,3,7,14,Ambient,08:46,2.8,midweek,0
FNB004,Small F&B,Bento Sets,Teriyaki Bento,2026-01-08,3,0,0,13.91,60,52,8,9,35,Refrigerated,08:01,2.9,midweek,0
FNB004,Small F&B,Rice Dishes,Curry Rice,2026-01-08,3,0,0,11.0,59,51,8,6,17,Refrigerated,08:23,1.2,midweek,0
FNB005,Small F&B,Desserts,Mochi Ice Cream,2026-01-08,3,0,0,9.81,43,37,6,28,21,Ambient,07:42,2.9,midweek,0
FNB005,Small F&B,Rice Dishes,Curry Rice,2026-01-08,3,0,0,8.93,42,37,5,6,29,Frozen,10:30,2.9,midweek,0
FNB005,Small F&B,Noodle Dishes,Beef Noodles,2026-01-08,3,0,1,9.26,32,28,4,4,20,Ambient,10:32,2.2,midweek,0
FNB005,Small F&B,Bento Sets,Teriyaki Bento,2026-01-08,3,0,0,18.03,32,28,4,7,40,Frozen,07:07,3.4,midweek,0
CAF001,Café,Salads,Quinoa Power Bowl,2026-01-09,4,0,0,12.46,33,29,4,17,19,Refrigerated,08:27,2.8,transition,0
CAF001,Café,Sandwiches,Veggie Panini,2026-01-09,4,0,0,7.51,30,27,3,19,7,Refrigerated,08:22,2.3,transition,0
CAF001,Café,Coffee & Beverages,Cold Brew,2026-01-09,4,0,0,7.99,27,24,3,4,2,Refrigerated,08:25,2.1,transition,0
CAF002,Café,Pastries,Croissant,2026-01-09,4,0,0,4.0,25,22,3,48,4,Refrigerated,06:09,3.0,transition,0
CAF002,Café,Salads,Caesar Salad,2026-01-09,4,0,0,11.87,43,39,4,29,11,Refrigerated,10:01,3.2,transition,0
CAF003,Café,Coffee & Beverages,Latte,2026-01-09,4,0,0,7.99,28,24,4,5,2,Frozen,06:04,2.4,transition,0
CAF003,Café,Sandwiches,Turkey Sandwich,2026-01-09,4,0,0,11.05,30,27,3,23,13,Refrigerated,07:19,3.6,transition,0
CAF003,Café,Pastries,Almond Croissant,2026-01-09,4,0,0,6.67,42,38,4,32,1,Frozen,09:01,2.1,transition,0
CAF003,Café,Salads,Garden Fresh,2026-01-09,4,0,1,9.65,15,12,3,42,16,Refrigerated,08:26,3.5,transition,0
CAF004,Café,Coffee & Beverages,Latte,2026-01-09,4,0,0,7.57,45,40,5,5,5,Ambient,08:55,1.2,transition,0
CAF004,Café,Salads,Greek Salad,2026-01-09,4,0,0,9.81,24,20,4,30,9,Frozen,07:40,3.9,transition,0
CAF004,Café,Pastries,Banana Bread,2026-01-09,4,0,0,5.63,42,37,5,61,1,Refrigerated,07:39,3.2,transition,0
CAF004,Café,Sandwiches,BLT,2026-01-09,4,0,0,7.21,11,9,2,24,9,Frozen,08:49,2.7,transition,0
CAF005,Café,Desserts,Carrot Cake,2026-01-09,4,0,0,7.47,35,31,4,27,15,Ambient,08:30,2.4,transition,0
CAF005,Café,Sandwiches,Veggie Panini,2026-01-09,4,0,0,10.67,32,28,4,17,13,Ambient,08:20,1.7,transition,0
CAF005,Café,Salads,Greek Salad,2026-01-09,4,0,0,9.48,28,24,4,38,11,Frozen,10:57,1.5,transition,0
CAF005,Café,Pastries,Blueberry Muffin,2026-01-09,4,0,0,4.26,20,17,3,55,2,Refrigerated,08:05,3.8,transition,0
BAK001,Bakery,Tarts,Fruit Tart,2026-01-09,4,0,0,4.7,78,66,12,67,25,Frozen,07:00,3.5,transition,0
BAK001,Bakery,Cakes,Lemon Drizzle,2026-01-09,4,0,1,13.11,61,51,10,119,21,Ambient,07:18,1.2,transition,0
BAK002,Bakery,Tarts,Fruit Tart,2026-01-09,4,0,0,6.08,58,48,10,33,16,Refrigerated,08:25,2.5,transition,0
BAK002,Bakery,Bread,Baguette,2026-01-09,4,0,0,8.02,73,60,13,41,5,Frozen,10:20,1.5,transition,0
BAK002,Bakery,Cookies,Double Chocolate,2026-01-09,4,0,0,3.98,79,65,14,312,9,Refrigerated,08:01,2.1,transition,0
BAK003,Bakery,Cakes,Lemon Drizzle,2026-01-09,4,0,0,14.74,44,38,6,69,31,Refrigerated,08:39,3.3,transition,0
BAK003,Bakery,Bread,Whole Wheat Loaf,2026-01-09,4,0,0,4.16,29,23,6,77,2,Refrigerated,08:13,2.2,transition,0
BAK003,Bakery,Tarts,Fruit Tart,2026-01-09,4,0,0,7.32,41,35,6,54,22,Frozen,07:11,2.4,transition,0
BAK003,Bakery,Pastries,Apple Turnover,2026-01-09,4,0,0,5.94,39,32,7,43,1,Ambient,10:19,3.3,transition,0
BAK004,Bakery,Cakes,Coffee Cake,2026-01-09,4,0,0,14.47,50,41,9,117,27,Refrigerated,09:25,3.5,transition,0
BAK004,Bakery,Cookies,Double Chocolate,2026-01-09,4,0,0,2.61,25,19,6,233,12,Refrigerated,07:52,2.6,transition,0
BAK004,Bakery,Pastries,Danish Pastry,2026-01-09,4,0,0,3.94,45,38,7,57,1,Refrigerated,08:03,1.3,transition,0
BAK005,Bakery,Pastries,Cheese Danish,2026-01-09,4,0,0,6.11,75,63,12,42,2,Ambient,07:03,3.7,transition,0
BAK005,Bakery,Bread,Focaccia,2026-01-09,4,0,0,7.69,19,13,6,46,0,Ambient,10:25,3.4,transition,0
BAK005,Bakery,Cakes,Lemon Drizzle,2026-01-09,4,0,0,14.01,16,12,4,90,24,Refrigerated,08:41,2.6,transition,0
BAK005,Bakery,Cookies,Snickerdoodle,2026-01-09,4,0,0,3.67,39,33,6,285,15,Refrigerated,07:11,1.0,transition,0
FNB001,Small F&B,Noodle Dishes,Beef Noodles,2026-01-09,4,0,0,12.61,25,21,4,6,25,Ambient,07:15,1.0,transition,0
FNB001,Small F&B,Desserts,Taiyaki,2026-01-09,4,0,0,11.72,39,33,6,40,30,Refrigerated,07:15,1.2,transition,0
FNB001,Small F&B,Bento Sets,Yakitori Set,2026-01-09,4,0,0,17.49,39,33,6,15,31,Refrigerated,08:14,3.9,transition,0
FNB001,Small F&B,Soup & Sides,Korokke,2026-01-09,4,0,0,5.49,55,47,8,25,8,Refrigerated,08:38,3.6,transition,0
FNB002,Small F&B,Bento Sets,Teriyaki Bento,2026-01-09,4,0,0,18.63,52,44,8,11,30,Refrigerated,09:28,1.3,transition,0
FNB002,Small F&B,Rice Dishes,Hainanese Chicken Rice,2026-01-09,4,0,0,14.29,48,40,8,12,28,Refrigerated,08:03,2.7,transition,0
FNB002,Small F&B,Desserts,Mochi Ice Cream,2026-01-09,4,0,0,8.38,20,15,5,26,23,Refrigerated,07:04,2.6,transition,0
FNB002,Small F&B,Soup & Sides,Takoyaki,2026-01-09,4,0,0,4.13,46,39,7,38,10,Ambient,10:24,2.3,transition,0
FNB003,Small F&B,Desserts,Taiyaki,2026-01-09,4,0,0,6.71,54,48,6,38,10,Ambient,09:19,2.4,transition,0
FNB003,Small F&B,Noodle Dishes,Beef Noodles,2026-01-09,4,0,0,14.76,35,30,5,7,13,Ambient,06:42,2.3,transition,0
FNB004,Small F&B,Noodle Dishes,Laksa,2026-01-09,4,0,0,9.71,22,18,4,4,17,Refrigerated,09:25,2.3,transition,0
FNB004,Small F&B,Desserts,Mochi Ice Cream,2026-01-09,4,0,0,6.84,38,33,5,60,20,Frozen,08:49,3.0,transition,0
FNB005,Small F&B,Desserts,Matcha Parfait,2026-01-09,4,0,0,7.8,23,19,4,71,15,Refrigerated,08:27,2.7,transition,0
FNB005,Small F&B,Noodle Dishes,Beef Noodles,2026-01-09,4,0,0,14.5,40,34,6,8,22,Refrigerated,07:34,2.4,transition,0
CAF001,Café,Pastries,Cinnamon Roll,2026-01-10,5,1,0,5.73,18,15,3,45,5,Ambient,06:28,3.5,saturday,0
CAF001,Café,Salads,Greek Salad,2026-01-10,5,1,0,9.26,34,29,5,16,11,Refrigerated,09:37,3.2,saturday,0
CAF001,Café,Coffee & Beverages,Americano,2026-01-10,5,1,1,5.56,10,8,2,4,5,Ambient,10:44,2.8,saturday,0
CAF001,Café,Desserts,Brownie,2026-01-10,5,1,0,7.93,28,24,4,46,19,Refrigerated,07:32,3.6,saturday,0
CAF002,Café,Salads,Chicken Grain Bowl,2026-01-10,5,1,0,11.07,46,40,6,13,12,Refrigerated,08:37,2.7,saturday,0
CAF002,Café,Sandwiches,Veggie Panini,2026-01-10,5,1,0,8.15,46,39,7,16,9,Refrigerated,09:31,3.9,saturday,0
CAF002,Café,Coffee & Beverages,Latte,2026-01-10,5,1,1,7.06,32,27,5,7,3,Refrigerated,10:34,4.0,saturday,0
CAF002,Café,Pastries,Croissant,2026-01-10,5,1,0,7.28,13,10,3,64,1,Refrigerated,06:09,1.0,saturday,0
CAF003,Café,Desserts,Tiramisu,2026-01-10,5,1,0,6.04,45,39,6,70,18,Ambient,08:18,1.1,saturday,0
CAF003,Café,Salads,Greek Salad,2026-01-10,5,1,0,9.54,16,12,4,45,12,Ambient,09:17,3.4,saturday,0
CAF003,Café,Sandwiches,Tuna Melt,2026-01-10,5,1,0,9.83,24,20,4,8,15,Frozen,10:41,3.3,saturday,0
CAF003,Café,Pastries,Banana Bread,2026-01-10,5,1,1,5.4,50,44,6,55,3,Ambient,08:21,2.7,saturday,0
CAF004,Café,Coffee & Beverages,Americano,2026-01-10,5,1,0,4.66,14,12,2,8,2,Ambient,07:54,1.9,saturday,0
CAF004,Café,Pastries,Cinnamon Roll,2026-01-10,5,1,1,7.22,29,26,3,48,5,Ambient,09:21,2.2,saturday,0
CAF004,Café,Desserts,Tiramisu,2026-01-10,5,1,1,9.0,32,29,3,28,20,Refrigerated,08:39,3.9,saturday,0
CAF004,Café,Salads,Caesar Salad,2026-01-10,5,1,0,12.17,38,32,6,36,14,Refrigerated,07:37,3.0,saturday,0
CAF005,Café,Coffee & Beverages,Americano,2026-01-10,5,1,1,5.04,50,45,5,6,2,Refrigerated,06:19,2.3,saturday,0
CAF005,Café,Desserts,Tiramisu,2026-01-10,5,1,0,7.12,38,33,5,30,10,Refrigerated,06:35,1.3,saturday,0
BAK001,Bakery,Bread,Ciabatta,2026-01-10,5,1,0,7.9,46,37,9,72,2,Ambient,06:19,1.8,saturday,0
BAK001,Bakery,Cakes,Lemon Drizzle,2026-01-10,5,1,0,10.37,76,63,13,79,38,Refrigerated,08:38,2.9,saturday,0
BAK001,Bakery,Pastries,Pain au Chocolat,2026-01-10,5,1,0,7.3,57,45,12,45,3,Refrigerated,07:52,3.5,saturday,0
BAK002,Bakery,Cakes,Lemon Drizzle,2026-01-10,5,1,0,8.42,65,53,12,110,45,Ambient,08:15,2.0,saturday,0
BAK002,Bakery,Pastries,Apple Turnover,2026-01-10,5,1,0,3.96,40,30,10,67,4,Refrigerated,06:46,2.4,saturday,0
BAK002,Bakery,Cookies,Double Chocolate,2026-01-10,5,1,0,4.58,23,17,6,272,15,Refrigerated,08:40,1.9,saturday,0
BAK003,Bakery,Cookies,Snickerdoodle,2026-01-10,5,1,0,3.7,66,54,12,275,13,Frozen,06:23,3.1,saturday,0
